time,dB(SPL)
41096,74.31338
41146,75.16158
41197,74.50353
41246,75.58038
41296,74.17182
41346,72.23659
41397,73.81278
41446,70.72359
41496,70.32012
41559,75.22954
41598,72.39021
41646,76.51371
41697,73.30036
41747,76.36056
41795,73.02944
41846,74.18201
41896,73.69511
41946,71.85907
41998,75.63367
42046,75.76902
42096,75.77044
42146,76.24356
42196,73.53753
42246,75.22954
42298,76.09233
42347,74.77720
42396,76.80463
42446,74.00195
42496,72.87695
42561,74.33509
42596,72.46085
42645,74.23952
42695,73.84107
42746,74.52313
42796,70.20554
42846,77.12854
42896,74.75498
42946,73.76306
42997,71.32875
43046,73.48804
43096,73.02168
43146,71.56361
43196,68.54972
43246,72.02599
43295,68.07956
43346,82.67971
43396,85.36313
43446,85.10738
43497,80.24831
43546,78.53405
43613,67.58248
43646,70.55260
43695,68.75501
43745,67.76558
43795,65.61612
43846,67.53519
43896,65.22526
43946,88.51981
43996,89.76029
44046,88.53315
44096,83.47421
44146,71.04363
44196,65.97270
44246,67.49130
44295,69.60876
44345,70.01844
44398,68.37265
44446,67.42505
44496,60.50612
44546,66.68103
44644,67.46192
44650,69.28681
44697,69.42877
44746,65.00352
44796,64.90532
44846,64.26504
44896,69.60014
44946,64.81598
44996,65.27272
45046,63.33452
45096,64.47511
45146,72.62888
45196,65.60701
45246,66.21387
45296,65.65697
45346,63.38761
45398,65.13435
45446,61.39336
45495,62.88526
45546,65.40426
45609,71.20052
45647,68.97413
45697,62.21179
45747,61.47437
45797,54.26981
45846,57.76359
45895,58.45451
45947,58.94867
45996,60.53067
46046,57.08612
46096,57.60484
46146,59.33222
46196,59.03646
46246,60.05196
46296,62.11701
46346,62.68354
46396,59.21892
46446,63.10064
46497,61.47437
46546,64.40739
46610,66.76913
46647,66.96999
46698,67.21565
46745,69.33735
46796,66.00756
46845,66.06392
46895,66.03362
46946,66.39877
46996,63.96214
47046,62.94734
47096,63.66540
47145,63.47538
47196,66.24778
47246,66.53081
47297,62.49008
47345,65.07645
47396,65.02790
47446,66.41538
47496,63.63116
47545,65.60246
47607,65.85398
47646,67.19292
47695,65.25851
47746,64.49584
47796,71.12846
47846,65.01815
47895,63.14914
47945,60.60390
47995,66.30681
48046,64.54745
48095,66.18834
48146,63.81783
48198,65.56592
48246,65.10062
48296,66.08119
48346,61.40076
48396,59.59097
48446,61.45969
48496,59.14256
48546,65.21573
48610,65.28218
48646,64.44913
48695,59.93898
48746,56.86466
48796,57.01292
48846,62.00051
48896,58.72022
48946,65.89373
48997,62.28555
49046,63.05188
49095,62.43120
49146,65.52464
49196,65.20143
49246,61.11521
49296,62.95971
49345,57.23069
49396,64.04432
49446,62.15098
49496,61.40076
49546,65.00352
49615,66.53491
49646,62.47050
49702,66.05095
49746,60.48150
49796,64.04977
49846,64.82096
49896,64.83093
49946,61.81221
49996,56.71381
50046,59.92147
50097,60.48971
50146,61.69867
50196,63.22736
50245,62.77237
50295,66.59202
